run,tick,insert,gravity,movement,behavior,reset,paint,total
2,14,0.0027,0.0154,0.0139,0.1126,0.0061,0.0478,0.1985
2,15,0.0029,0.0147,0.0142,0.1165,0.0069,0.0382,0.1934
2,16,0.0025,0.0139,0.0145,0.1166,0.0063,0.0441,0.1979
2,17,0.0026,0.0152,0.0146,0.1167,0.0103,0.0416,0.201
2,18,0.0042,0.0219,0.0149,0.1134,0.0068,0.0378,0.199
2,19,0.0027,0.0143,0.0155,0.1157,0.0063,0.0463,0.2008
2,20,0.0018,0.0205,0.0202,0.1157,0.0065,0.0456,0.2103
2,21,0.0027,0.0157,0.0167,0.1157,0.0077,0.0433,0.2018
2,22,0.0026,0.0144,0.0167,0.1241,0.0068,0.0385,0.2031
2,23,0.0025,0.0146,0.0175,0.119,0.0065,0.0374,0.1975
2,24,0.004,0.0146,0.0174,0.1189,0.0064,0.0373,0.1986
2,25,0.0025,0.0153,0.0179,0.1202,0.0065,0.0389,0.2013
2,26,0.0041,0.0149,0.0185,0.1166,0.0067,0.0461,0.2069
2,27,0.0025,0.0196,0.018,0.1131,0.0063,0.0459,0.2054
2,28,0.0025,0.0191,0.0193,0.1131,0.0065,0.0496,0.2101
2,29,0.0025,0.0199,0.0192,0.12,0.0063,0.0474,0.2153
2,30,0.0036,0.0267,0.0266,0.1353,0.0068,0.049,0.248
2,31,0.0028,0.0201,0.0206,0.1196,0.0063,0.0506,0.22
2,32,0.0028,0.0152,0.0187,0.1138,0.0065,0.0378,0.1948
2,33,0.0037,0.0144,0.0188,0.1135,0.0065,0.0519,0.2088
2,34,0.0026,0.0176,0.022,0.1208,0.0077,0.037,0.2077
2,35,0.0025,0.015,0.0201,0.1202,0.0054,0.0383,0.2015
2,36,0.0075,0.0224,0.0253,0.1204,0.0076,0.0458,0.229
2,37,0.0029,0.0203,0.0217,0.1223,0.0068,0.0383,0.2123
2,38,0.0026,0.0183,0.0261,0.119,0.0067,0.0461,0.2188
2,39,0.0027,0.0201,0.0216,0.1168,0.0065,0.0458,0.2135
2,40,0.0027,0.0204,0.0222,0.1211,0.0063,0.0449,0.2176
2,41,0.0032,0.0201,0.0218,0.1191,0.0065,0.0409,0.2116
2,42,0.0025,0.0181,0.0256,0.119,0.0088,0.045,0.219
2,43,0.0027,0.0201,0.0217,0.1141,0.0064,0.0367,0.2017
2,44,0.0026,0.0182,0.025,0.1145,0.0065,0.0366,0.2034
2,45,0.005,0.023,0.0242,0.1169,0.0071,0.0502,0.2264
2,46,0.003,0.0211,0.0264,0.1152,0.0329,0.0457,0.2443
2,47,0.0033,0.0231,0.0238,0.1121,0.0063,0.0355,0.2041
2,48,0.0027,0.018,0.0232,0.112,0.0062,0.0357,0.1978
2,49,0.0025,0.0178,0.023,0.1115,0.0064,0.0391,0.2003
2,50,0.0014,0.0555,0.0235,0.1167,0.0063,0.0358,0.2392
2,51,0.004,0.0184,0.0235,0.1158,0.0063,0.0353,0.2033
2,52,0.0025,0.0181,0.0237,0.1159,0.0062,0.0358,0.2022
2,53,0.0025,0.022,0.0239,0.1118,0.0063,0.0352,0.2017
2,54,0.0025,0.0183,0.0242,0.1119,0.0064,0.0353,0.1986
2,55,0.0024,0.0251,0.0269,0.1135,0.0071,0.0438,0.2188
2,56,0.0025,0.0191,0.0236,0.1127,0.0062,0.0345,0.1986
2,57,0.0025,0.018,0.0236,0.1133,0.0062,0.0347,0.1983
2,58,0.0024,0.0178,0.0285,0.1094,0.0062,0.0346,0.1989
2,59,0.0024,0.018,0.0259,0.1096,0.0062,0.0346,0.1967
2,60,0.0024,0.0179,0.0241,0.1099,0.0062,0.0346,0.1951
2,61,0.0024,0.0178,0.0241,0.1094,0.0062,0.039,0.1989
2,62,0.0025,0.023,0.0277,0.1339,0.0062,0.0347,0.228
2,63,0.0023,0.0177,0.028,0.1159,0.0065,0.0349,0.2053
2,64,0.0024,0.0178,0.0242,0.1151,0.0063,0.0347,0.2005
2,65,0.0025,0.0179,0.0243,0.1105,0.0062,0.0347,0.1961
2,66,0.0024,0.0179,0.0243,0.1102,0.0105,0.0364,0.2017
2,67,0.0023,0.0179,0.0243,0.114,0.0079,0.0347,0.2011
2,68,0.0023,0.0229,0.0278,0.1207,0.007,0.0384,0.2191
2,69,0.006,0.0195,0.0249,0.1106,0.0063,0.0348,0.2021
2,70,0.0025,0.0177,0.0246,0.1108,0.0063,0.0347,0.1966
2,71,0.0031,0.0178,0.0248,0.1109,0.0061,0.0398,0.2025
2,72,0.0025,0.0177,0.0245,0.1143,0.0062,0.0346,0.1998
2,73,0.0024,0.0177,0.0241,0.1144,0.0061,0.0345,0.1992
2,74,0.0025,0.0226,0.0291,0.1212,0.0072,0.0383,0.2209
2,75,0.0026,0.0199,0.0251,0.1106,0.0062,0.0347,0.1991
2,76,0.004,0.0181,0.0257,0.111,0.0064,0.0385,0.2037
2,77,0.0028,0.0179,0.0296,0.111,0.0062,0.0349,0.2024
2,78,0.0044,0.0218,0.0347,0.1166,0.0073,0.0522,0.237
2,79,0.004,0.018,0.0297,0.1249,0.0071,0.0354,0.2191
2,80,0.0039,0.0184,0.0271,0.1159,0.0062,0.043,0.2145
2,81,0.0025,0.0242,0.0262,0.111,0.0062,0.035,0.2051
2,82,0.0024,0.0181,0.0267,0.1115,0.0065,0.0348,0.2
2,83,0.0031,0.018,0.0282,0.1262,0.0066,0.0354,0.2175
2,84,0.0029,0.0237,0.0299,0.1205,0.0072,0.0413,0.2255
2,85,0.0026,0.0204,0.0267,0.1115,0.0061,0.0351,0.2024
2,86,0.0024,0.018,0.0267,0.1108,0.0061,0.0346,0.1986
2,87,0.0024,0.0181,0.0268,0.1109,0.0105,0.0345,0.2032
2,88,0.0024,0.0179,0.0285,0.1148,0.0062,0.0346,0.2044
2,89,0.0023,0.018,0.0269,0.1152,0.0062,0.0347,0.2033
2,90,0.0024,0.0219,0.0265,0.1114,0.0062,0.0346,0.203
2,91,0.0025,0.0179,0.0273,0.1111,0.0061,0.0345,0.1994
2,92,0.0024,0.0232,0.0304,0.1324,0.0063,0.0347,0.2294
2,93,0.0031,0.0182,0.0279,0.1151,0.0068,0.0345,0.2056
2,94,0.0024,0.0229,0.0318,0.1159,0.0072,0.0433,0.2235
2,95,0.0026,0.0196,0.0277,0.1116,0.0062,0.0345,0.2022
2,96,0.0024,0.018,0.0273,0.1114,0.0075,0.0382,0.2048
2,97,0.0024,0.018,0.027,0.1153,0.0061,0.0345,0.2033
2,98,0.0023,0.0179,0.0267,0.1163,0.0062,0.0353,0.2047
2,99,0.0024,0.0179,0.0317,0.1117,0.0062,0.0345,0.2044
2,100,0.0024,0.0181,0.0271,0.1119,0.0061,0.0359,0.2015
2,101,0.0024,0.0183,0.0273,0.1127,0.0062,0.0346,0.2015
2,102,0.0024,0.0181,0.0282,0.1163,0.0061,0.0347,0.2058
2,103,0.003,0.0179,0.0273,0.1161,0.0063,0.0346,0.2052
2,104,0.0029,0.0179,0.0269,0.1153,0.0066,0.0427,0.2123
2,105,0.0081,0.0198,0.0266,0.1118,0.0062,0.035,0.2075
2,106,0.0024,0.0181,0.0268,0.1457,0.0098,0.143,0.3458
2,107,0.0087,0.0141,0.0338,0.1129,0.0063,0.0349,0.2107
2,108,0.0026,0.0182,0.0275,0.1123,0.0062,0.0348,0.2016
2,109,0.0025,0.0239,0.0348,0.1168,0.0071,0.0396,0.2247
2,110,0.0027,0.0204,0.0282,0.1169,0.0062,0.035,0.2094
2,111,0.0038,0.0256,0.0385,0.1499,0.0081,0.0522,0.2781
2,112,0.0029,0.0186,0.0278,0.1176,0.0061,0.0348,0.2078
2,113,0.0025,0.0232,0.0341,0.1204,0.0061,0.0346,0.2209
2,114,0.0023,0.0181,0.0324,0.1127,0.0061,0.0346,0.2062
2,115,0.0024,0.0182,0.0278,0.1131,0.0062,0.0344,0.2021
2,116,0.0026,0.0179,0.0279,0.1124,0.0062,0.0382,0.2052
2,117,0.0026,0.0182,0.0294,0.1219,0.0062,0.035,0.2133
2,118,0.0024,0.0181,0.0283,0.1233,0.0061,0.0346,0.2128
2,119,0.0024,0.0229,0.0277,0.1129,0.0061,0.0347,0.2067
2,120,0.0025,0.018,0.0281,0.1128,0.0061,0.0345,0.202
2,121,0.0025,0.0179,0.0274,0.1128,0.0078,0.0386,0.207
2,122,0.0025,0.0178,0.0277,0.1171,0.0062,0.0344,0.2057
2,123,0.0024,0.0182,0.0273,0.1169,0.0063,0.0347,0.2058
2,124,0.0024,0.0179,0.0314,0.1141,0.0062,0.0346,0.2066
2,125,0.0026,0.0178,0.0271,0.113,0.0062,0.0365,0.2032
2,126,0.0031,0.0237,0.0309,0.1214,0.0073,0.0434,0.2298
2,127,0.0025,0.0195,0.0272,0.1171,0.0061,0.0348,0.2072
2,128,0.0024,0.018,0.0272,0.1222,0.0062,0.0432,0.2192
2,129,0.0027,0.0199,0.027,0.1132,0.0063,0.0352,0.2043
2,130,0.0042,0.0178,0.0272,0.1187,0.0062,0.0351,0.2092
2,131,0.0026,0.018,0.0278,0.1202,0.0068,0.0418,0.2172
2,132,0.0036,0.0229,0.0315,0.1222,0.0071,0.0481,0.2354
2,133,0.0026,0.0197,0.0275,0.1145,0.0062,0.0348,0.2053
2,134,0.0043,0.0181,0.0286,0.1134,0.0061,0.0348,0.2053
2,135,0.0031,0.018,0.0282,0.1174,0.0061,0.0354,0.2082
2,136,0.0028,0.0186,0.0274,0.1133,0.0062,0.0349,0.2032
2,137,0.003,0.0182,0.0286,0.1138,0.0061,0.0397,0.2094
2,138,0.0029,0.0244,0.0316,0.1447,0.0063,0.035,0.2449
2,139,0.0025,0.0181,0.0317,0.1149,0.0062,0.0346,0.208
2,140,0.0025,0.0181,0.0279,0.1135,0.0062,0.0345,0.2027
2,141,0.0024,0.0182,0.0274,0.1134,0.0062,0.0344,0.202
2,142,0.0024,0.0181,0.029,0.1174,0.0062,0.0346,0.2077
2,143,0.0024,0.0238,0.0314,0.1229,0.0071,0.0403,0.2279
2,144,0.0042,0.0193,0.033,0.1234,0.0074,0.0549,0.2422
2,145,0.0033,0.0208,0.0309,0.1267,0.0072,0.0405,0.2294
2,146,0.0027,0.0206,0.0285,0.1221,0.0061,0.0353,0.2153
2,147,0.0027,0.0181,0.0324,0.1141,0.0061,0.0352,0.2086
2,148,0.0033,0.0181,0.0283,0.1135,0.0062,0.0346,0.204
2,149,0.0024,0.0179,0.0281,0.1134,0.0061,0.0383,0.2062
2,150,0.0024,0.018,0.0281,0.1178,0.0077,0.0346,0.2086
2,151,0.0023,0.0179,0.0274,0.1179,0.0062,0.0344,0.2061
2,152,0.0025,0.0179,0.0313,0.114,0.0062,0.0346,0.2065
2,153,0.0024,0.0228,0.0314,0.1218,0.007,0.0402,0.2256
2,154,0.0026,0.0199,0.0281,0.1139,0.0099,0.0376,0.212
2,155,0.0024,0.0178,0.0282,0.1173,0.0061,0.0344,0.2062
2,156,0.0024,0.0179,0.0283,0.1175,0.0062,0.0345,0.2068
2,157,0.0023,0.0228,0.0312,0.1178,0.007,0.0394,0.2205
2,158,0.0025,0.0204,0.0289,0.1138,0.0061,0.0382,0.2099
2,159,0.0034,0.018,0.0283,0.1182,0.0061,0.0343,0.2083
2,160,0.0023,0.0184,0.0293,0.1179,0.0061,0.0347,0.2087
2,161,0.0023,0.018,0.0318,0.114,0.0061,0.0346,0.2068
2,162,0.0024,0.0177,0.0282,0.1143,0.006,0.0345,0.2031
2,163,0.0031,0.0237,0.0313,0.1232,0.007,0.043,0.2313
2,164,0.0026,0.0203,0.0281,0.1193,0.0061,0.0345,0.2109
2,165,0.0024,0.018,0.0719,0.2158,0.0063,0.0505,0.3649
2,166,0.0056,0.0214,0.0321,0.1257,0.0075,0.05,0.2423
2,167,0.0029,0.0225,0.0364,0.124,0.0065,0.0351,0.2274
2,168,0.0025,0.0182,0.028,0.1147,0.0061,0.0348,0.2043
2,169,0.0025,0.0179,0.028,0.1149,0.0062,0.0397,0.2092
2,170,0.003,0.018,0.0279,0.1189,0.0069,0.0346,0.2093
2,171,0.0023,0.0179,0.028,0.1233,0.0061,0.0347,0.2123
2,172,0.0023,0.0221,0.0279,0.1212,0.0062,0.0347,0.2144
2,173,0.0025,0.0179,0.0277,0.118,0.0063,0.0429,0.2153
2,174,0.0026,0.02,0.0282,0.1183,0.0061,0.0356,0.2108
2,175,0.0024,0.018,0.0278,0.1185,0.0075,0.0347,0.2089
2,176,0.0023,0.0178,0.0324,0.1151,0.0061,0.0346,0.2083
2,177,0.0041,0.0206,0.0319,0.1251,0.0073,0.0497,0.2387
2,178,0.0068,0.0157,0.0319,0.1206,0.0067,0.0392,0.2209
2,179,0.0041,0.0169,0.0365,0.1156,0.0059,0.0388,0.2178
2,180,0.0037,0.0148,0.0318,0.1156,0.0057,0.0369,0.2085
2,181,0.0032,0.0147,0.0317,0.1154,0.0105,0.036,0.2115
2,182,0.0034,0.0147,0.0307,0.1183,0.0062,0.0458,0.2191
2,183,0.0024,0.0162,0.0313,0.1152,0.0063,0.0354,0.2068
2,184,0.0045,0.0148,0.0275,0.1158,0.0062,0.036,0.2048
2,185,0.0026,0.0149,0.028,0.1153,0.0061,0.0398,0.2067
2,186,0.0029,0.0178,0.0284,0.1237,0.0059,0.0433,0.222
2,187,0.0025,0.0167,0.0287,0.1193,0.0062,0.0347,0.2081
2,188,0.0038,0.0189,0.0283,0.1152,0.0061,0.0431,0.2154
2,189,0.0025,0.0164,0.0286,0.1156,0.0061,0.0364,0.2056
2,190,0.0024,0.0151,0.0282,0.1153,0.0061,0.0443,0.2114
2,191,0.0027,0.0166,0.0285,0.1197,0.0062,0.0438,0.2175
2,192,0.0031,0.0171,0.0288,0.1206,0.0061,0.0355,0.2112
2,193,0.0024,0.0152,0.0285,0.115,0.0061,0.0416,0.2088
2,194,0.0025,0.0163,0.0282,0.1165,0.0069,0.0525,0.2229
2,195,0.0029,0.0152,0.0288,0.1213,0.0062,0.0355,0.2099
2,196,0.0024,0.0157,0.0301,0.1185,0.0061,0.0425,0.2153
2,197,0.0025,0.0165,0.0325,0.115,0.0065,0.0368,0.2098
2,198,0.0025,0.0151,0.0288,0.115,0.0061,0.0418,0.2093
2,199,0.0025,0.0165,0.0287,0.115,0.0061,0.0403,0.2091
2,200,0.0025,0.0151,0.0289,0.1198,0.006,0.0386,0.2109
2,201,0.0025,0.0152,0.0289,0.1259,0.0067,0.0347,0.2139
2,202,0.003,0.0188,0.0291,0.1153,0.0062,0.0417,0.2141
2,203,0.0024,0.0166,0.0289,0.1151,0.0061,0.0429,0.212
2,204,0.0026,0.0166,0.0289,0.1197,0.0061,0.0363,0.2102
2,205,0.0023,0.0151,0.029,0.1193,0.0061,0.0359,0.2077
2,206,0.0023,0.0151,0.0332,0.1148,0.0062,0.0383,0.2099
2,207,0.0032,0.0177,0.0287,0.1154,0.0062,0.0388,0.21
2,208,0.0027,0.0175,0.0288,0.1146,0.0072,0.0426,0.2134
2,209,0.0025,0.0175,0.0289,0.119,0.0061,0.0395,0.2135
2,210,0.0052,0.0216,0.0347,0.1259,0.0073,0.0539,0.2486
2,211,0.0036,0.02,0.0334,0.1244,0.0075,0.0447,0.2336
2,212,0.0027,0.0165,0.0287,0.1214,0.0062,0.0369,0.2124
2,213,0.0023,0.015,0.0281,0.1185,0.0061,0.0361,0.2061
2,214,0.0025,0.015,0.031,0.115,0.0061,0.0415,0.2111
2,215,0.0025,0.0163,0.0275,0.1161,0.0061,0.0354,0.2039
2,216,0.0025,0.015,0.028,0.1153,0.0061,0.0395,0.2064
2,217,0.0039,0.015,0.0275,0.1215,0.0062,0.0366,0.2107
2,218,0.0026,0.0151,0.028,0.1314,0.0072,0.0466,0.2309
2,219,0.0027,0.0243,0.0292,0.1179,0.0063,0.044,0.2244
2,220,0.0025,0.0168,0.0287,0.118,0.0062,0.0356,0.2078
2,221,0.0025,0.0164,0.0309,0.1258,0.0063,0.044,0.2259
2,222,0.0026,0.0169,0.0288,0.1214,0.0066,0.0372,0.2135
2,223,0.0024,0.0152,0.0287,0.1225,0.0069,0.0369,0.2126
2,224,0.004,0.0184,0.0442,0.1417,0.0079,0.0397,0.2559
2,225,0.0029,0.0167,0.0302,0.1451,0.0071,0.0444,0.2464
2,226,0.0027,0.0166,0.0291,0.1237,0.0063,0.0427,0.2211
2,227,0.0025,0.0195,0.0333,0.1184,0.0063,0.0401,0.2201
2,228,0.0027,0.0176,0.0295,0.1223,0.0071,0.0398,0.219
2,229,0.003,0.0187,0.0293,0.1193,0.0063,0.0436,0.2202
2,230,0.0025,0.0179,0.0295,0.1232,0.0065,0.0397,0.2193
2,231,0.0031,0.0178,0.0308,0.1234,0.0063,0.04,0.2214
2,232,0.0025,0.0182,0.0295,0.1178,0.0063,0.0393,0.2136
2,233,0.0031,0.0181,0.0292,0.1176,0.0077,0.047,0.2227
2,234,0.0024,0.0175,0.0302,0.1226,0.0063,0.0371,0.2161
2,235,0.0025,0.0152,0.0308,0.1245,0.0064,0.0376,0.217
2,236,0.0029,0.0155,0.0327,0.1208,0.0064,0.0451,0.2234
2,237,0.0027,0.0169,0.0294,0.1209,0.0065,0.0382,0.2146
2,238,0.0026,0.0155,0.0301,0.1228,0.0063,0.0474,0.2247
2,239,0.0031,0.0165,0.0298,0.1265,0.0061,0.0437,0.2257
2,240,0.0027,0.0169,0.0292,0.1255,0.0064,0.0379,0.2186
2,241,0.0024,0.0196,0.0296,0.1215,0.007,0.0374,0.2175
2,242,0.0041,0.0155,0.029,0.1215,0.0064,0.0384,0.2149
2,243,0.0025,0.0184,0.0296,0.125,0.0062,0.045,0.2267
2,244,0.0024,0.0163,0.0284,0.1239,0.006,0.0441,0.2211
2,245,0.0024,0.0167,0.0329,0.1186,0.0064,0.0357,0.2127
2,246,0.0025,0.024,0.0336,0.1278,0.0076,0.046,0.2415
2,247,0.0025,0.0163,0.0294,0.1211,0.0064,0.0414,0.2171
2,248,0.0024,0.0154,0.0293,0.1246,0.0064,0.036,0.2141
2,249,0.0025,0.0154,0.0295,0.1255,0.0065,0.0374,0.2168
2,250,0.0033,0.0213,0.0311,0.1215,0.0064,0.0376,0.2212
2,251,0.0025,0.0155,0.0296,0.1213,0.0061,0.0441,0.2191
2,252,0.0025,0.0169,0.0297,0.122,0.0105,0.0418,0.2234
2,253,0.0027,0.0152,0.0297,0.1258,0.0065,0.0378,0.2177
2,254,0.0024,0.0163,0.0298,0.1267,0.0064,0.0453,0.2269
2,255,0.0032,0.0171,0.0292,0.1301,0.0063,0.0378,0.2237
2,256,0.0028,0.0157,0.0289,0.1209,0.0064,0.0402,0.2149
2,257,0.0025,0.0162,0.0288,0.1246,0.0063,0.0447,0.2231
2,258,0.0025,0.0171,0.0287,0.1274,0.0061,0.0472,0.229
2,259,0.0026,0.0167,0.0291,0.1221,0.0064,0.038,0.2149
2,260,0.0025,0.0156,0.0295,0.1213,0.007,0.0375,0.2134
2,261,0.0027,0.0155,0.0296,0.14,0.0081,0.0482,0.2441
2,262,0.0028,0.0163,0.0298,0.1279,0.0083,0.0383,0.2234
2,263,0.0024,0.0155,0.0335,0.1218,0.0065,0.0465,0.2262
2,264,0.0026,0.0168,0.0297,0.1241,0.0066,0.0442,0.224
2,265,0.0026,0.0168,0.0298,0.1268,0.0065,0.0447,0.2272
2,266,0.0025,0.017,0.0296,0.1262,0.0064,0.0375,0.2192
2,267,0.0024,0.018,0.0296,0.1217,0.0064,0.0376,0.2157
2,268,0.0026,0.0157,0.0298,0.1217,0.0063,0.0449,0.221
2,269,0.0026,0.0171,0.0296,0.1225,0.0065,0.0414,0.2197
2,270,0.0027,0.0157,0.0298,0.1257,0.0064,0.0378,0.2181
2,271,0.0048,0.0156,0.03,0.126,0.0064,0.044,0.2268
2,272,0.0041,0.0164,0.0348,0.1217,0.0066,0.039,0.2226
2,273,0.0031,0.0157,0.0303,0.1224,0.0064,0.0377,0.2156
2,274,0.0025,0.0156,0.0302,0.1219,0.0064,0.0401,0.2167
2,275,0.0032,0.0248,0.0355,0.1301,0.0087,0.0482,0.2505
2,276,0.0027,0.0207,0.0354,0.1248,0.0066,0.0465,0.2367
2,277,0.0026,0.0172,0.0309,0.1246,0.0064,0.0364,0.2181
2,278,0.0031,0.0155,0.0303,0.1251,0.0066,0.0423,0.2229
2,279,0.0026,0.0156,0.032,0.1256,0.0064,0.0376,0.2198
2,280,0.0026,0.016,0.0308,0.1288,0.0066,0.0384,0.2232
2,281,0.0015,0.0169,0.1158,0.1277,0.0067,0.0384,0.307
2,282,0.0026,0.016,0.0307,0.1309,0.0073,0.0464,0.2339
2,283,0.0025,0.0176,0.0308,0.1299,0.0064,0.0379,0.2251
2,284,0.0024,0.0163,0.0336,0.1222,0.0064,0.0376,0.2185
2,285,0.003,0.0165,0.03,0.1246,0.0066,0.045,0.2257
2,286,0.0026,0.0173,0.0304,0.1222,0.0064,0.0415,0.2204
2,287,0.0025,0.0157,0.0306,0.135,0.0079,0.0451,0.2368
2,288,0.0028,0.0216,0.0309,0.1227,0.0065,0.0379,0.2224
2,289,0.0024,0.0159,0.0304,0.1225,0.0064,0.0375,0.2151
2,290,0.0024,0.0157,0.0304,0.1229,0.0104,0.036,0.2178
2,291,0.0026,0.0158,0.031,0.1264,0.0064,0.0376,0.2198
2,292,0.0025,0.0158,0.0305,0.1263,0.0063,0.0376,0.219
2,293,0.006,0.0159,0.031,0.1224,0.0064,0.0365,0.2182
2,294,0.0031,0.0159,0.0307,0.1226,0.0065,0.036,0.2148
2,295,0.0031,0.0158,0.0306,0.1273,0.0063,0.0446,0.2277
2,296,0.0037,0.0166,0.0311,0.1276,0.0072,0.0403,0.2265
2,297,0.0025,0.0162,0.0353,0.1252,0.0072,0.0464,0.2328
2,298,0.0025,0.0175,0.0311,0.1266,0.0072,0.0459,0.2308
2,299,0.0027,0.0174,0.0309,0.1272,0.0066,0.0462,0.231
2,300,0.0025,0.0235,0.0368,0.1312,0.0081,0.0427,0.2448
2,301,0.0025,0.0177,0.0349,0.1254,0.0067,0.0371,0.2243
2,302,0.0024,0.0162,0.032,0.1272,0.0066,0.0447,0.2291
2,303,0.0025,0.0168,0.0314,0.1222,0.0063,0.0481,0.2273
2,304,0.0031,0.0173,0.0322,0.1265,0.0064,0.0362,0.2217
2,305,0.0032,0.017,0.0313,0.1295,0.0065,0.0447,0.2322
2,306,0.0025,0.0213,0.0318,0.1427,0.0084,0.049,0.2557
2,307,0.0029,0.0211,0.0316,0.1275,0.0068,0.0514,0.2413
2,308,0.0027,0.0177,0.0317,0.1341,0.0065,0.0367,0.2294
2,309,0.0045,0.0185,0.0328,0.1388,0.0063,0.0476,0.2485
2,310,0.0025,0.0207,0.0308,0.1231,0.0066,0.0461,0.2298
2,311,0.0026,0.0167,0.0302,0.1235,0.0101,0.036,0.2191
2,312,0.003,0.0156,0.0299,0.1298,0.0065,0.0364,0.2212
2,313,0.0026,0.0156,0.0299,0.1277,0.0064,0.0377,0.2199
2,314,0.0025,0.0155,0.0301,0.1228,0.0063,0.0375,0.2147
2,315,0.0033,0.0156,0.0301,0.1282,0.0064,0.0444,0.228
2,316,0.0026,0.0169,0.0302,0.1281,0.0081,0.0456,0.2315
2,317,0.0026,0.0171,0.0309,0.1331,0.0068,0.0389,0.2294
2,318,0.0025,0.0159,0.0347,0.1262,0.0066,0.0368,0.2227
2,319,0.0024,0.0159,0.0306,0.1262,0.0065,0.0385,0.2201
2,320,0.0026,0.016,0.0307,0.129,0.0074,0.0423,0.228
2,321,0.0025,0.016,0.0306,0.1303,0.0065,0.0384,0.2243
2,322,0.0031,0.016,0.0308,0.1301,0.0066,0.0383,0.2249
2,323,0.0024,0.0202,0.0334,0.1266,0.0066,0.0385,0.2277
2,324,0.0025,0.016,0.0312,0.1263,0.0065,0.0384,0.2209
2,325,0.0035,0.0159,0.029,0.127,0.0107,0.0372,0.2233
2,326,0.0026,0.0186,0.0304,0.1276,0.007,0.0406,0.2268
2,327,0.0025,0.0182,0.03,0.1285,0.0065,0.0367,0.2224
2,328,0.0025,0.0182,0.0299,0.1237,0.0071,0.0407,0.2221
2,329,0.0033,0.0192,0.03,0.1241,0.0064,0.0484,0.2314
2,330,0.0026,0.017,0.0305,0.1317,0.0065,0.0447,0.233
2,331,0.0025,0.0171,0.0315,0.1309,0.0067,0.0466,0.2353
2,332,0.0031,0.0171,0.032,0.1271,0.007,0.0386,0.2249
2,333,0.0025,0.0164,0.033,0.1268,0.0065,0.0368,0.222
2,334,0.0025,0.0157,0.0316,0.131,0.0065,0.0377,0.225
2,335,0.0024,0.0157,0.0314,0.1279,0.0064,0.0374,0.2212
2,336,0.0027,0.0157,0.0354,0.1237,0.0071,0.0377,0.2223
2,337,0.0027,0.0179,0.0408,0.1415,0.0066,0.045,0.2545
2,338,0.0027,0.0168,0.0317,0.1327,0.0066,0.037,0.2275
2,339,0.0025,0.016,0.0363,0.1272,0.0066,0.0386,0.2272
2,340,0.0025,0.0166,0.0331,0.1273,0.0065,0.0459,0.2319
2,341,0.0027,0.0171,0.0329,0.1294,0.0086,0.0466,0.2373
2,342,0.0026,0.0207,0.0329,0.159,0.0123,0.0491,0.2766
2,343,0.0035,0.0201,0.0343,0.1337,0.0067,0.0385,0.2368
2,344,0.0029,0.0195,0.0516,0.133,0.0073,0.0386,0.2529
2,345,0.0027,0.02,0.0383,0.1273,0.0071,0.0402,0.2356
2,346,0.0025,0.0193,0.0333,0.1271,0.0073,0.0446,0.2341
2,347,0.0025,0.0191,0.0326,0.1289,0.0063,0.0363,0.2257
2,348,0.0025,0.0187,0.0327,0.1282,0.0064,0.0404,0.2289
2,349,0.0025,0.0194,0.0362,0.1274,0.0067,0.0366,0.2288
2,350,0.0042,0.0189,0.0327,0.1246,0.0064,0.0365,0.2233
2,351,0.0025,0.019,0.0327,0.1289,0.0063,0.0365,0.2259
2,352,0.0025,0.0188,0.0322,0.1297,0.0063,0.0364,0.2259
2,353,0.0024,0.0183,0.0357,0.1218,0.0064,0.0359,0.2205
2,354,0.0031,0.0248,0.0356,0.1315,0.0071,0.0416,0.2437
2,355,0.0025,0.0193,0.0307,0.1239,0.0062,0.0346,0.2172
2,356,0.0025,0.0179,0.0307,0.1229,0.0062,0.0345,0.2147
2,357,0.0023,0.0179,0.0387,0.1344,0.0066,0.0433,0.2432
2,358,0.0027,0.02,0.0325,0.1191,0.0061,0.0348,0.2152
2,359,0.0026,0.018,0.0306,0.1228,0.0064,0.0347,0.2151
2,360,0.003,0.0185,0.0322,0.1242,0.0068,0.0349,0.2196
2,361,0.0024,0.018,0.035,0.1196,0.0062,0.0346,0.2158
2,362,0.0024,0.0182,0.0312,0.1203,0.006,0.0347,0.2128
2,363,0.0025,0.018,0.0312,0.1326,0.0062,0.0348,0.2253
2,364,0.0026,0.0183,0.0306,0.1258,0.0061,0.0929,0.2763
2,365,0.0041,0.0234,0.031,0.1195,0.0062,0.0346,0.2188
2,366,0.0026,0.0179,0.0308,0.1205,0.0062,0.0349,0.2129
2,367,0.003,0.018,0.0305,0.1231,0.0061,0.0345,0.2152
2,368,0.0024,0.0179,0.0303,0.1239,0.0062,0.0344,0.2151
2,369,0.0024,0.0179,0.0344,0.119,0.0062,0.0347,0.2146
2,370,0.0025,0.0177,0.0302,0.1201,0.0073,0.0347,0.2125
2,371,0.0024,0.0178,0.0312,0.1195,0.0062,0.0385,0.2156
2,372,0.0023,0.0178,0.0311,0.1231,0.0061,0.0347,0.2151
2,373,0.0023,0.0177,0.0311,0.1229,0.0061,0.0346,0.2147
2,374,0.0031,0.0179,0.031,0.1198,0.0062,0.0369,0.2149
2,375,0.005,0.0224,0.037,0.1238,0.0157,0.0533,0.2572
2,376,0.005,0.0207,0.0357,0.1239,0.0118,0.0431,0.2402
